evnt_start_time_x,mtng_date,mtng_venue_location,evnt_number,mtng_name,sport_name,Racecourse,Meeting Date,ramp_id,evnt_start_time_y,country,commission,uk_commission,ie_commission,bf_uk_volume,bf_ie_volume,pp_uk_volume,pp_ie_volume,volume,_merge
,,,6,,Horse Racing,ADDINGTON (HARNESS),2022-06-26,9467467,2022-06-26 03:39:00,New Zealand,5.3684,5.1875,0.1809,13.8583,0.8545,135.6821,12.0999,162.4948,right_only
,,,1,,Greyhound Racing,IPSWICH,2022-05-31,9385740,2022-05-31 06:04:00,Australia,10.0765,8.7736,1.3029,0.0,0.0,4.8968,0.0,4.8968,right_only
,,,5,,Greyhound Racing,GOSFORD,2022-05-31,9387155,2022-05-31 11:26:00,Australia,26.8547,13.7715,13.0832,11.375,0.0,123.6434,32.7743,167.7927,right_only
,,,6,,Horse Racing,NEWCASTLE HARNESS,2022-06-20,9450333,2022-06-20 07:08:00,Australia,29.7033,28.7573,0.946,8.8823,0.0,66.7016,12.5433,88.1272,right_only
,,,1,,Horse Racing,MENANGLE HARNESS,2022-06-07,9403186,2022-06-07 04:22:00,Australia,28.0252,21.8957,6.1295,3.9996,0.5849,152.891,30.4881,187.9636,right_only
,,,1,,Horse Racing,GLOBE DERBY HARNESS,2022-06-20,9450481,2022-06-20 04:08:00,Australia,10.8437,9.4594,1.3843,6.5,0.0,18.7798,2.5891,27.8689,right_only
,,,7,,Horse Racing,MURRAY BRIDGE,2022-06-13,9426035,2022-06-13 07:10:00,Australia,99.9481,73.7461,26.202,0.25,0.0,51.5934,0.0214,51.8648,right_only
,,,7,,Horse Racing,ARARAT HARNESS,2022-06-08,9405268,2022-06-08 06:38:00,Australia,38.4215,29.6466,8.7749,10.101,0.4286,150.2642,17.8738,178.6676,right_only
,,,4,,Horse Racing,PENRITH HARNESS,2022-06-30,9488356,2022-06-30 10:45:00,Australia,92.495,85.1614,7.3336,222.8006,1.7207,310.2532,52.936,587.7105,right_only
,,,1,,Horse Racing,YOUNG HARNESS,2022-06-02,9395491,2022-06-02 09:05:00,Australia,26.0849,25.9571,0.1278,18.918,0.0,787.5078,16.6984,823.1242,right_only
